"","year","hare","lynx","nao","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"55",1899,5000,2069,0.03,5.5,7.3,6.2,9.3,11.4,13,13.5,12.8,12.5,11.8,9.8,8.1
"56",1900,2000,1824,-2.13,7.7,8.1,9.9,10.8,11.5,12,12.1,11.2,11.4,10.6,9.1,8.4
"57",1901,18000,1532,-0.33,6.5,6.8,7.4,9.8,11.5,12.2,13.2,13.1,12.8,10.5,9.9,7.4
"58",1902,1000,2272,-1.41,5.8,8.1,8.1,10.3,12.8,13.1,14,13.4,13.4,12.2,10.9,8.4
"59",1903,6000,2335,3.89,8.1,8.6,5.9,9,11,12.8,11.6,12.8,11.2,10,8.4,5.4
"60",1904,45000,3344,0.23,5.9,5.5,7.1,7.6,10.8,13.3,13.3,13.2,12,9.9,10.1,7.9
"61",1905,50000,4754,1.98,7.7,7.9,10.7,10.7,11.1,12.7,13.7,13.6,11.8,10.3,10.8,8.6
"62",1906,20000,4467,2.06,6.5,7.2,8.6,10,11.1,12.1,12,12.5,10.5,9.8,7.2,6.8
"63",1907,20000,2623,2.06,5,6.2,8,9.8,11.4,11.6,12.4,12.8,12.1,10.6,8.7,5.9
"64",1908,22000,1171,1.44,7.7,5.6,7.3,8.1,11.2,12.9,13,12.4,11.7,10.2,8.4,6.9
"65",1909,27000,797,0,5.6,7.6,5.8,9.7,10.5,11.6,12.1,11.9,11.2,9.6,8.3,6.7
"66",1910,50000,1184,2.1,4.4,5,6.8,8.2,11.1,11.1,11.8,11.8,10.6,10.6,7.1,5.7
"67",1911,55000,1438,0.29,5.5,5.6,7.8,8.6,11.8,14,13.5,13.4,12.1,12,9.9,7.6
"68",1912,78000,1552,0.24,7.6,9,8.1,11.7,12.4,12.4,12,13.3,11.2,11,8.8,8.6
"69",1913,70000,2949,2.69,6,7,6.9,9.6,12.4,13.3,13.9,13,13.3,11.9,10.1,8.1
"70",1914,59000,NA,1.48,8.5,8.5,7.5,10.3,11.1,13.4,14.4,14.7,13.4,13.4,10.7,8.6
"71",1915,28000,4242,-0.2,8.6,7.7,10.6,11.3,11.7,11.7,12,12.6,10.5,9.9,8.5,5.4
"72",1916,20000,4664,-0.69,5.2,5.9,7.6,9.8,9.9,10.4,11.2,12.3,10.8,9,7.7,4.2
"73",1917,15000,1889,-3.8,6.1,7.3,5.8,8.5,10.5,11.1,11,10.9,10.4,9.7,7.4,5.1
"74",1918,15000,722,-0.8,5.5,5.4,8.9,9,10.7,12.4,14,13.5,14.1,11.2,9.2,8
"75",1919,25000,317,-0.8,7.2,8.8,8.5,9.4,10.9,12.9,13.2,13.7,12.3,11.2,9.8,8.1
"76",1920,35000,287,3.18,5.1,6.9,8.9,8.9,10.8,10.2,11.2,12,11,10.2,8.4,5.5
"77",1921,65000,380,1.63,4.9,6.5,6.7,10,10,10.6,12.1,13.1,12,10.4,8.9,6.2
"78",1922,78000,762,1.85,5.5,5.1,6.8,9.4,10.6,11.6,12.6,12.9,11.5,10.6,8.7,6.2
"79",1923,82000,1467,1.73,5.1,6.5,6.4,8.1,10.2,11.6,13.9,14.6,12.4,11.4,9.5,7
"80",1924,65000,1904,-1.13,7.4,6.8,7.3,9.4,10.5,12.3,13.2,12.8,12,9.5,8,5.8
"81",1925,26000,3029,2.39,5.4,3.9,5.2,7.9,10.5,12.1,13.9,12.8,12.8,11.6,10.3,8.3
"82",1926,15000,3178,0.11,6.5,8.5,9.4,10.2,11.1,12.8,12.9,12.9,11.4,9.8,9.5,6.5
"83",1927,10000,1806,1.72,5.1,6.9,6.8,8.6,10.7,11.8,12.4,13.3,12.4,11.2,9.5,7.1
"84",1928,1000,664,0.63,8.3,5.8,6.5,9,11.9,12.8,12.7,13.2,11.7,9.3,9.6,6.3
"85",1929,2000,349,-1.03,3.1,4.3,7.4,9.5,11.9,13.4,13.7,13.2,12.5,10.8,8,6.3
"86",1930,3000,288,0.91,4.8,6.6,8.2,10,12,12.9,13.5,13.6,13.2,11.7,10.8,7.9
"87",1931,22000,575,-0.16,6.3,8.3,8.6,9.4,11.4,12.7,13.2,12.5,11.2,11.4,8.9,6.8
"88",1932,75000,931,-0.5,5.3,7.4,7.9,10.2,11,12.5,13.5,13.5,11.7,10.2,9,6.4
"89",1933,95000,1265,0.25,6.8,5.5,6.7,9.5,11.2,12.5,13,13.3,11.7,9.8,8.1,6.4
"90",1934,78000,1692,0.86,5.9,7.3,7,8.8,11.4,11.7,12.5,13.6,12.2,10.9,8.6,7.4
"91",1935,20000,1861,0.97,5.4,7.4,6,9.4,12,12.8,12.7,13.5,10.8,9.7,9.2,8.1
"92",1936,NA,1252,-3.89,6.7,6.9,7.6,9.1,10.1,12.6,12.5,12.1,11.6,10.7,9.4,6.8
"93",1937,NA,591,0.72,5.2,7.8,6,9.2,12,12.2,13.4,12.6,12.5,10.9,8.3,6.5
